date,val
,
"Dec. 31, 2019",20.70B
"Sept. 30, 2019",17.05B
"June 30, 2019",16.95B
"March 31, 2019",23.31B
"Dec. 31, 2018",8.796B
"Sept. 30, 2018",18.76B
"June 30, 2018",20.78B
"March 31, 2018",22.43B
"Dec. 31, 2017",10.10B
"Sept. 30, 2017",7.514B
"June 30, 2017",7.092B
"March 31, 2017",6.888B
"Dec. 31, 2016",10.85B
"Sept. 30, 2016",5.778B
"June 30, 2016",10.17B
"March 31, 2016",6.421B
"Dec. 31, 2015",6.862B
"Sept. 30, 2015",13.03B
"June 30, 2015",9.985B
"March 31, 2015",6.741B
"Dec. 31, 2014",4.95B
"Sept. 30, 2014",16.70B
"June 30, 2014",4.906B
"March 31, 2014",17.76B
"Dec. 31, 2013",4.895B
,
"Sept. 30, 2013",4.715B
"June 30, 2013",15.94B
"March 31, 2013",-199.00M
"Dec. 31, 2012",1.874B
"Sept. 30, 2012",-232.00M
"June 30, 2012",-56.00M
"March 31, 2012",-286.00M
"Dec. 31, 2011",-91.00M
"Sept. 30, 2011",-254.00M
"June 30, 2011",-83.00M
"March 31, 2011",-286.00M
"Dec. 31, 2010",-208.00M
"Sept. 30, 2010",-179.00M
"June 30, 2010",-199.00M
"March 31, 2010",-160.00M
"Dec. 31, 2009",-374.00M
"Sept. 30, 2009",-187.00M
"June 30, 2009",-166.00M
"March 31, 2009",-45.00M
"Dec. 31, 2008",-77.00M
"Sept. 30, 2008",-72.00M
"June 30, 2008",-178.00M
"March 31, 2008",-54.00M
"Dec. 31, 2007",-179.00M
"Sept. 30, 2007",-71.00M
date,value
,
"Dec. 31, 2019",20.70B
"Sept. 30, 2019",17.05B
"June 30, 2019",16.95B
"March 31, 2019",23.31B
"Dec. 31, 2018",8.796B
"Sept. 30, 2018",18.76B
"June 30, 2018",20.78B
"March 31, 2018",22.43B
"Dec. 31, 2017",10.10B
"Sept. 30, 2017",7.514B
"June 30, 2017",7.092B
"March 31, 2017",6.888B
"Dec. 31, 2016",10.85B
"Sept. 30, 2016",5.778B
"June 30, 2016",10.17B
"March 31, 2016",6.421B
"Dec. 31, 2015",6.862B
"Sept. 30, 2015",13.03B
"June 30, 2015",9.985B
"March 31, 2015",6.741B
"Dec. 31, 2014",4.95B
"Sept. 30, 2014",16.70B
"June 30, 2014",4.906B
"March 31, 2014",17.76B
"Dec. 31, 2013",4.895B
,
"Sept. 30, 2013",4.715B
"June 30, 2013",15.94B
"March 31, 2013",-199.00M
"Dec. 31, 2012",1.874B
"Sept. 30, 2012",-232.00M
"June 30, 2012",-56.00M
"March 31, 2012",-286.00M
"Dec. 31, 2011",-91.00M
"Sept. 30, 2011",-254.00M
"June 30, 2011",-83.00M
"March 31, 2011",-286.00M
"Dec. 31, 2010",-208.00M
"Sept. 30, 2010",-179.00M
"June 30, 2010",-199.00M
"March 31, 2010",-160.00M
"Dec. 31, 2009",-374.00M
"Sept. 30, 2009",-187.00M
"June 30, 2009",-166.00M
"March 31, 2009",-45.00M
"Dec. 31, 2008",-77.00M
"Sept. 30, 2008",-72.00M
"June 30, 2008",-178.00M
"March 31, 2008",-54.00M
"Dec. 31, 2007",-179.00M
"Sept. 30, 2007",-71.00M
